"","Station_ID","Station_Name","Go_live_date","Region","Status","LAT","LON","elevation"
"1",3005,"7th & Flower","7/7/2016","DTLA","Active",34.0485,-118.258537,82.89
"2",3006,"Olive & 8th","7/7/2016","DTLA","Active",34.04554,-118.256668,79.34
"3",3007,"5th & Grand","7/7/2016","DTLA","Active",34.05048,-118.254593,92.04
"4",3008,"Figueroa & 9th","7/7/2016","DTLA","Active",34.046612,-118.262733,77.49
"5",3010,"11th & Maple","7/10/2016","DTLA","Active",34.037048,-118.254868,72.26
"6",3011,"Figueroa & Pico","7/12/2016","DTLA","Active",34.04113,-118.267982,72.17
"7",3013,"Anaheim & Avalon","7/31/2017","Port of LA","Active",33.779819,-118.263023,7.15
"8",3014,"Union Station West Portal","7/7/2016","DTLA","Active",34.05661,-118.237213,86.08
"9",3016,"Los Angeles & Temple","7/7/2016","DTLA","Active",34.052898,-118.241562,86.5
"10",3018,"Grand & Olympic","7/7/2016","DTLA","Active",34.043732,-118.260139,77.34
"11",3019,"12th & Hill","7/7/2016","DTLA","Active",34.038609,-118.260857,73.78
"12",3020,"Hill & Washington","7/7/2016","DTLA","Active",34.031052,-118.26709,67.76
"13",3022,"3rd & Santa Fe","7/7/2016","DTLA","Active",34.04607,-118.233093,80.74
"14",3023,"1st & Judge John Aiso","7/7/2016","DTLA","Active",34.050911,-118.240967,85.88
"15",3024,"Hope & 1st","7/13/2016","DTLA","Active",34.05772,-118.24897,122.06
"16",3025,"Grand & Washington","7/7/2016","DTLA","Active",34.03286,-118.268082,68.01
"17",3026,"Figueroa & Cesar Chavez","7/7/2016","DTLA","Active",34.063179,-118.24588,110.68
"18",3027,"Spring & 3rd","7/7/2016","DTLA","Active",34.04998,-118.247162,85.05
"19",3028,"Grand & Temple","7/7/2016","DTLA","Active",34.058319,-118.246094,118.94
"20",3029,"Main & 4th","7/7/2016","DTLA","Active",34.048851,-118.246422,83.23
"21",3030,"Main & 1st","7/7/2016","DTLA","Active",34.051941,-118.24353,87.53
"22",3031,"7th & Spring","7/7/2016","DTLA","Active",34.044701,-118.252441,78.05
"23",3032,"Hope & 6th","7/7/2016","DTLA","Active",34.049889,-118.255882,85.75
"24",3033,"Main & 9th","7/7/2016","DTLA","Active",34.040989,-118.255798,74.57
"25",3034,"Hope & 11th","7/7/2016","DTLA","Active",34.042061,-118.263382,74.8
"26",3035,"Figueroa & 8th","7/7/2016","DTLA","Active",34.048401,-118.260948,79.84
"27",3036,"Willow St & Mateo St","7/7/2016","DTLA","Active",34.039188,-118.232529,77.08
"28",3037,"Imperial & 7th","7/7/2016","DTLA","Active",34.034801,-118.231277,75.46
"29",3038,"Main & 5th","7/7/2016","DTLA","Active",34.046822,-118.248352,80.35
"30",3040,"Wilshire & Witmer","7/7/2016","DTLA","Active",34.05357,-118.266357,101.56
"31",3042,"1st & Central","7/7/2016","DTLA","Active",34.049301,-118.238808,82.68
"32",3045,"18th & San Pedro","7/7/2016","DTLA","Active",34.028511,-118.256668,69.27
