name,lontitude,lattitude,line
Westlake / MacArthur Park,-118.275904,34.05721,red
7th Street / Metro Center,-118.258534,34.048762,red
Pershing Square,-118.251557,34.048434,red
Civic Center/Grand Park,-118.245284,34.05545,red
Union Station,-118.233397,34.055579,red
Westlake / MacArthur Park,-118.275904,34.05721,purple
7th Street / Metro Center,-118.258534,34.048762,purple
Pershing Square,-118.251557,34.048434,purple
Civic Center/Grand Park,-118.245284,34.05545,purple
Union Station,-118.233397,34.055579,purple
7th Street / Metro Center,-118.258534,34.048762,expo
Pico,-118.266405,34.040463,expo
LATTC/Ortho Institute,-118.273592,34.029112,expo
7th Street / Metro Center,-118.258534,34.048762,blue
Pico,-118.266405,34.040463,blue
Grand / LATTC,-118.268967,34.032978,blue
San Pedro Street,-118.255505,34.026816,blue
Chinatown,-118.235789,34.063909,gold
Union Station,-118.233397,34.055579,gold
Little Tokyo / Arts District,-118.23789,34.050062,gold
Pico / Aliso,-118.225899,34.047646,gold
